Dimension: array length (n),Time (clock)
0,1.000000
1000,316.000000
2000,1073.000000
3000,2373.000000
4000,3569.000000
5000,5305.000000
6000,6679.000000
7000,8166.000000
8000,10887.000000
9000,14003.000000
10000,22086.000000
11000,18752.000000
12000,21879.000000
13000,23668.000000
14000,26673.000000
15000,30728.000000
16000,33836.000000
17000,37542.000000
18000,43462.000000
19000,58970.000000
20000,52060.000000
21000,56145.000000
22000,61670.000000
23000,69955.000000
24000,68490.000000
25000,61953.000000
26000,69251.000000
27000,73056.000000
28000,77507.000000
29000,88361.000000
30000,108400.000000
31000,96559.000000
32000,109619.000000
33000,109113.000000
34000,114318.000000
35000,121120.000000
36000,130819.000000
37000,135241.000000
38000,143340.000000
39000,151352.000000
40000,159386.000000
41000,172636.000000
42000,175355.000000
43000,185734.000000
44000,194808.000000
45000,216951.000000
46000,213443.000000
47000,222855.000000
48000,231195.000000
49000,243707.000000
50000,257161.000000
