Dimension: array length (n),Time (clock)
0,0.240000
1000,165.380000
2000,579.420000
3000,1178.740000
4000,2005.180000
5000,3122.180000
6000,4760.440000
7000,6608.980000
8000,8152.940000
9000,10190.720000
10000,12554.800000
11000,14953.880000
12000,17822.400000
13000,21004.060000
14000,24274.320000
15000,27799.440000
16000,31732.140000
17000,35779.320000
18000,41755.340000
19000,44907.580000
20000,49885.240000
21000,55242.760000
22000,59908.900000
23000,66786.820000
24000,74181.380000
25000,77479.420000
26000,82801.060000
27000,89402.840000
28000,96101.800000
29000,103091.720000
30000,110258.600000
31000,117974.700000
32000,125566.860000
33000,133628.660000
34000,141877.920000
35000,150403.200000
36000,158775.680000
37000,168008.080000
38000,177138.300000
39000,186622.840000
40000,196468.820000
41000,206057.920000
42000,215973.300000
43000,226516.500000
44000,237108.400000
45000,248048.620000
46000,259722.680000
47000,270577.120000
48000,282278.420000
49000,294115.420000
50000,306040.360000
