Dimension (n),Insertion Sort
0,0.200000
1000,313.780000
2000,1004.240000
3000,2234.440000
4000,3939.080000
5000,6193.260000
6000,8874.000000
7000,12043.740000
8000,15719.380000
9000,19900.000000
10000,24561.660000
11000,29692.340000
12000,35337.180000
13000,41397.260000
14000,48064.920000
15000,55063.160000
16000,62671.900000
17000,70778.880000
18000,79369.400000
19000,88501.400000
20000,97922.940000
21000,107948.940000
22000,118406.000000
23000,129547.060000
24000,141086.600000
25000,153106.380000
26000,165629.580000
27000,178416.640000
28000,191913.260000
29000,205782.480000
30000,220360.700000
31000,235451.680000
32000,250947.220000
33000,266489.840000
34000,283282.480000
35000,300110.500000
36000,317173.880000
37000,335296.520000
38000,353516.660000
39000,372649.020000
40000,391731.500000
41000,411415.320000
42000,431822.320000
43000,452761.120000
44000,474154.980000
45000,495866.200000
46000,517659.340000
47000,540994.320000
48000,564836.440000
49000,588459.020000
50000,612154.720000
