Dimension (n),Insertion Sort,Merge Sort,Hybrid Sort
0,0.280000,0.280000,0.280000
1000,128.200000,102.400000,70.220000
2000,425.180000,160.520000,124.220000
3000,784.740000,238.340000,228.400000
4000,1472.760000,306.320000,235.240000
5000,2101.940000,401.040000,346.140000
6000,2980.840000,460.360000,442.820000
7000,3929.820000,571.520000,398.220000
8000,5081.800000,627.900000,486.620000
9000,6537.220000,717.420000,580.880000
10000,7984.600000,808.500000,684.160000
11000,9712.420000,921.740000,859.560000
12000,11613.400000,976.060000,918.280000
13000,13331.560000,1072.460000,789.840000
14000,15696.160000,1141.700000,851.160000
15000,18821.680000,1228.900000,937.500000
16000,36072.180000,13661.280000,10406.580000
17000,78009.120000,1748.740000,1486.480000
18000,31819.340000,1794.140000,1569.600000
19000,33156.200000,1838.100000,1495.220000
20000,35500.900000,1979.520000,1615.440000
21000,41528.720000,2025.900000,1664.660000
22000,42502.620000,2116.620000,1768.440000
23000,43546.300000,2182.960000,1938.340000
24000,45227.680000,1987.860000,1901.500000
25000,48652.760000,2087.740000,2033.160000
26000,52596.440000,2202.920000,1617.060000
27000,56175.100000,2299.120000,1697.160000
28000,60518.220000,2362.540000,1790.680000
29000,64901.280000,2446.720000,1879.500000
30000,69763.340000,2535.580000,1975.380000
31000,74304.680000,2628.560000,2068.440000
32000,79127.660000,2721.380000,2166.220000
33000,84536.580000,2812.700000,2278.760000
34000,89264.880000,2916.720000,2384.840000
35000,94589.320000,2994.720000,2490.180000
36000,99974.120000,3086.760000,2593.600000
37000,105730.360000,3188.760000,2707.160000
38000,111463.800000,3282.740000,2808.740000
39000,117518.960000,3403.020000,2916.780000
40000,123440.160000,3464.760000,3032.640000
41000,129831.680000,3544.540000,3150.980000
42000,136091.480000,3661.440000,3274.280000
43000,143513.820000,3740.520000,3383.300000
44000,149565.560000,3825.460000,3493.480000
45000,156550.880000,3924.780000,3639.600000
46000,163307.400000,4054.020000,3760.880000
47000,171322.760000,4120.420000,3884.220000
48000,178012.480000,4209.260000,4022.640000
49000,185777.860000,4300.060000,4135.560000
50000,193757.360000,4420.580000,4266.800000
