Dimension (n),Insertion Sort,Merge Sort,Hybrid Sort
0,0.190000,0.260000,0.330000
50,1.600000,4.280000,1.670000
100,4.900000,9.060000,4.110000
150,9.630000,13.270000,7.590000
200,15.890000,17.510000,12.580000
250,23.070000,20.260000,11.320000
300,29.880000,23.040000,14.420000
350,37.240000,25.450000,17.120000
400,45.030000,26.730000,19.550000
450,52.460000,29.920000,16.820000
500,64.480000,34.130000,19.870000
550,78.040000,37.550000,23.000000
600,92.120000,57.030000,28.440000
650,120.740000,45.320000,30.460000
700,124.580000,48.870000,34.080000
750,142.980000,52.770000,38.300000
800,161.480000,56.930000,42.680000
850,183.040000,60.210000,34.610000
900,216.150000,63.670000,37.690000
950,227.010000,67.690000,40.700000
1000,250.860000,71.450000,43.990000
1050,277.280000,75.680000,47.900000
1100,303.170000,79.760000,51.240000
1150,332.740000,82.910000,54.850000
1200,360.970000,87.320000,58.600000
1250,390.780000,91.330000,62.530000
1300,421.820000,97.580000,66.810000
1350,455.010000,99.260000,70.740000
1400,487.330000,102.670000,74.720000
1450,523.460000,107.790000,79.060000
1500,561.860000,111.310000,83.970000
1550,596.470000,114.280000,88.000000
1600,635.730000,118.740000,93.030000
1650,675.970000,122.970000,73.650000
1700,715.030000,127.000000,76.950000
1750,761.700000,130.790000,80.130000
1800,804.360000,134.000000,83.110000
1850,852.230000,138.100000,86.940000
1900,897.370000,142.980000,90.860000
1950,946.490000,147.140000,93.470000
2000,993.500000,150.500000,97.520000
