Dimension: array length (n),Time (clock)
0,0.200000
1000,65.500000
2000,136.880000
3000,211.700000
4000,289.440000
5000,366.680000
6000,446.460000
7000,529.060000
8000,608.280000
9000,690.400000
10000,770.480000
11000,849.620000
12000,912.360000
13000,1017.020000
14000,1103.800000
15000,1179.500000
16000,1269.580000
17000,1349.880000
18000,1432.160000
19000,1519.800000
20000,1602.580000
21000,1689.080000
22000,1779.400000
23000,1848.560000
24000,1938.580000
25000,2052.480000
26000,2156.260000
27000,2320.820000
28000,2479.500000
29000,2605.880000
30000,2819.120000
31000,2861.800000
32000,2824.980000
33000,2845.620000
34000,2951.300000
35000,3314.700000
36000,3358.480000
37000,3701.420000
38000,3781.100000
39000,3794.820000
40000,3988.460000
41000,4187.460000
42000,4127.820000
43000,4352.060000
44000,4530.880000
45000,4713.820000
46000,4590.040000
47000,4648.020000
48000,4828.400000
49000,4960.000000
50000,5027.280000
