Dimension: array length (n),Time (clock)
0,0.160000
1,0.150000
2,0.190000
3,0.210000
4,0.260000
5,0.290000
6,0.370000
7,0.430000
8,0.440000
9,0.480000
10,0.530000
11,0.630000
12,0.630000
13,0.520000
14,0.780000
15,0.770000
16,0.800000
17,0.880000
18,0.950000
19,1.000000
20,1.050000
21,1.040000
22,1.150000
23,1.160000
24,1.290000
25,1.260000
26,1.330000
27,1.380000
28,1.410000
29,1.630000
30,1.470000
31,1.560000
32,1.570000
33,1.650000
34,1.730000
35,1.730000
36,1.850000
37,1.850000
38,1.920000
39,1.940000
40,2.010000
41,2.060000
42,2.140000
43,2.170000
44,2.160000
45,2.150000
46,2.340000
47,2.400000
48,2.410000
49,2.500000
50,2.590000
51,2.630000
52,2.650000
53,2.730000
54,2.810000
55,2.830000
56,2.860000
57,2.970000
58,2.980000
59,3.040000
60,3.110000
61,3.140000
62,3.200000
63,3.220000
64,3.280000
65,3.380000
66,3.440000
67,3.470000
68,3.490000
69,3.560000
70,3.640000
71,3.710000
72,3.720000
73,3.900000
74,3.960000
75,4.010000
76,4.320000
77,4.050000
78,4.080000
79,4.200000
80,4.190000
81,4.240000
82,4.340000
83,4.390000
84,4.460000
85,4.440000
86,4.500000
87,4.540000
88,4.620000
89,4.530000
90,4.760000
91,4.830000
92,4.880000
93,4.880000
94,4.950000
95,5.060000
96,5.000000
97,5.150000
98,5.240000
99,5.330000
100,5.400000
101,5.430000
102,5.470000
103,5.760000
104,5.570000
105,5.530000
106,5.670000
107,5.800000
108,5.740000
109,5.890000
110,5.920000
111,5.970000
112,5.940000
113,6.100000
114,6.140000
115,6.660000
116,6.310000
117,6.190000
118,6.250000
119,6.350000
120,6.480000
121,6.510000
122,6.520000
123,6.610000
124,6.750000
125,6.710000
126,6.840000
127,6.840000
128,6.900000
129,6.940000
130,6.980000
131,7.010000
132,7.020000
133,7.200000
134,7.250000
135,7.330000
136,7.340000
137,7.440000
138,7.510000
139,7.650000
140,7.620000
141,7.640000
142,7.720000
143,7.710000
144,7.770000
145,7.900000
146,7.990000
147,8.040000
148,8.130000
149,8.070000
150,8.420000
151,8.280000
152,8.270000
153,8.360000
154,8.420000
155,8.540000
156,8.560000
157,8.570000
158,8.580000
159,8.660000
160,8.790000
161,8.870000
162,8.970000
163,8.930000
164,8.940000
165,9.040000
166,9.110000
167,9.160000
168,9.240000
169,9.270000
170,9.340000
171,9.450000
172,9.390000
173,9.580000
174,9.600000
175,9.610000
176,9.670000
177,9.770000
178,9.830000
179,9.840000
180,9.900000
181,9.940000
182,10.050000
183,10.540000
184,10.350000
185,10.270000
186,10.300000
187,10.310000
188,10.680000
189,10.500000
190,10.530000
191,10.520000
192,10.630000
193,10.650000
194,10.820000
195,10.810000
196,10.960000
197,10.910000
198,11.030000
199,11.090000
200,11.090000
201,11.160000
202,11.220000
203,11.280000
204,11.450000
205,11.550000
206,11.920000
207,11.650000
208,11.690000
209,11.700000
210,11.850000
211,11.960000
212,12.630000
213,12.020000
214,12.100000
215,12.210000
216,12.130000
217,12.210000
218,12.320000
