Dimension: array length (n),Time (clock)
0,0.160000
1000,84.420000
2000,319.960000
3000,716.620000
4000,1260.960000
5000,1961.840000
6000,2779.620000
7000,3788.060000
8000,4947.500000
9000,6240.420000
10000,7675.960000
11000,9292.200000
12000,11013.460000
13000,12907.740000
14000,14922.560000
15000,17292.220000
16000,19616.520000
17000,22284.820000
18000,24822.820000
19000,27561.780000
20000,30474.060000
21000,33494.420000
22000,36686.580000
23000,40149.140000
24000,45761.420000
25000,49472.380000
26000,51138.800000
27000,55058.280000
28000,59192.700000
29000,64220.540000
30000,68438.080000
31000,73006.000000
32000,77690.920000
33000,82895.080000
34000,87617.760000
35000,93118.540000
36000,98276.840000
37000,109383.800000
38000,109837.860000
39000,115028.800000
40000,120918.100000
41000,126893.300000
42000,133055.080000
43000,139566.200000
44000,150324.060000
45000,153970.240000
46000,160610.640000
47000,166976.240000
48000,173983.200000
49000,181510.280000
50000,188676.280000
