Dimension (n),Insertion Sort,Merge Sort,Hybrid Sort,Quick Sort,Median of Three Quick Sort
1,0.400000,0.270000,0.280000,0.280000,0.240000
2,0.280000,0.510000,0.320000,0.220000,0.350000
3,0.350000,0.580000,0.610000,0.230000,0.510000
4,0.130000,0.550000,0.380000,0.340000,0.080000
5,0.440000,0.600000,0.330000,0.280000,0.440000
6,0.520000,0.710000,0.440000,0.420000,0.390000
7,0.420000,0.800000,0.300000,0.440000,0.430000
8,0.380000,0.850000,0.400000,0.560000,0.480000
9,0.400000,1.310000,0.580000,0.550000,0.850000
10,0.420000,1.090000,0.480000,0.690000,0.630000
11,0.480000,1.110000,0.510000,0.690000,0.630000
12,0.480000,1.320000,0.580000,0.970000,0.870000
13,0.650000,1.690000,0.650000,0.660000,0.650000
14,0.580000,1.640000,0.650000,0.960000,0.890000
15,0.710000,1.870000,0.690000,0.990000,0.980000
16,0.700000,2.000000,0.740000,1.020000,1.080000
17,0.740000,1.980000,0.840000,1.070000,1.180000
18,0.650000,1.850000,0.720000,1.000000,1.010000
19,0.850000,2.390000,0.950000,1.090000,1.070000
20,0.810000,2.370000,0.900000,1.400000,1.110000
21,0.910000,2.350000,0.900000,1.350000,1.200000
22,0.840000,2.410000,1.060000,1.350000,1.290000
23,0.900000,2.560000,1.160000,1.420000,1.560000
24,0.930000,3.240000,1.190000,1.610000,1.630000
25,1.120000,3.540000,1.380000,1.680000,1.680000
26,1.130000,3.690000,1.250000,1.840000,1.900000
27,1.390000,3.650000,1.320000,1.960000,1.910000
28,1.260000,3.990000,1.550000,1.840000,1.940000
29,1.310000,4.380000,1.530000,1.910000,2.210000
30,1.430000,4.040000,1.420000,1.900000,1.890000
31,1.430000,4.000000,1.450000,1.980000,1.980000
32,1.450000,4.030000,1.550000,2.030000,2.020000
33,1.510000,4.430000,1.760000,2.280000,2.090000
34,1.610000,4.360000,2.020000,2.380000,2.160000
35,1.610000,4.440000,1.790000,2.290000,2.210000
36,1.580000,4.430000,1.740000,2.310000,2.170000
37,1.330000,3.330000,1.550000,2.240000,2.140000
38,1.540000,4.170000,1.820000,2.370000,2.020000
39,1.730000,3.690000,2.110000,2.310000,2.410000
40,1.820000,4.300000,1.660000,2.400000,2.320000
41,1.800000,4.380000,1.720000,2.480000,2.380000
42,1.670000,4.430000,9.500000,22.290000,24.450000
43,16.770000,39.960000,19.730000,24.650000,22.680000
44,16.370000,39.380000,19.140000,22.580000,21.820000
45,14.990000,38.000000,18.110000,25.120000,25.540000
46,19.470000,50.080000,20.670000,24.250000,23.300000
47,16.600000,41.380000,19.400000,23.560000,23.290000
48,17.180000,41.580000,19.830000,24.010000,23.920000
49,18.150000,42.080000,21.070000,24.810000,25.360000
50,19.910000,49.450000,24.940000,28.170000,25.650000
51,19.780000,53.340000,23.570000,28.500000,29.840000
52,19.820000,49.220000,22.660000,26.310000,27.000000
53,19.400000,50.130000,23.520000,27.760000,27.520000
54,20.750000,54.240000,24.000000,27.660000,27.250000
55,20.990000,50.880000,23.540000,29.010000,27.230000
56,23.060000,54.900000,28.550000,31.660000,33.940000
57,35.230000,74.740000,35.660000,37.410000,37.360000
58,32.590000,52.080000,27.230000,29.900000,29.730000
59,24.800000,53.890000,26.870000,30.790000,31.470000
60,28.050000,65.300000,29.950000,32.220000,32.220000
61,28.540000,53.750000,35.400000,38.570000,35.880000
62,33.490000,69.190000,39.380000,39.010000,38.070000
63,29.990000,80.360000,39.400000,39.720000,40.060000
64,35.070000,57.570000,29.360000,32.950000,32.750000
65,28.720000,63.570000,31.600000,35.070000,34.110000
66,29.350000,67.230000,43.260000,34.790000,41.240000
67,30.850000,85.240000,44.110000,43.110000,42.940000
68,39.090000,85.440000,46.260000,43.660000,43.580000
69,41.490000,88.570000,47.820000,44.080000,44.160000
70,42.390000,91.100000,48.250000,45.130000,44.840000
71,42.620000,70.330000,39.370000,43.810000,41.360000
72,42.630000,81.150000,41.360000,46.150000,45.400000
73,45.830000,89.170000,51.610000,47.570000,41.030000
74,36.050000,70.670000,38.320000,38.980000,40.170000
75,39.210000,93.700000,48.410000,47.990000,42.600000
76,42.410000,74.740000,39.730000,44.010000,41.990000
77,37.200000,85.870000,50.170000,47.660000,47.960000
78,41.280000,72.860000,43.820000,43.130000,42.370000
79,38.420000,75.120000,41.540000,42.550000,49.940000
80,53.170000,97.400000,60.760000,51.900000,51.640000
81,55.470000,98.600000,62.250000,52.450000,52.460000
82,55.940000,94.230000,56.450000,45.570000,43.530000
83,40.340000,75.400000,44.780000,45.410000,50.830000
84,47.800000,100.970000,57.130000,53.310000,49.630000
85,50.530000,99.770000,58.440000,51.410000,53.230000
86,50.370000,102.230000,57.020000,50.410000,55.900000
87,47.460000,82.910000,48.150000,47.370000,46.810000
88,45.440000,89.970000,66.760000,55.100000,58.600000
89,58.310000,98.930000,70.210000,52.810000,57.800000
90,57.170000,102.550000,68.280000,57.800000,54.390000
91,47.990000,86.720000,52.990000,50.830000,49.980000
92,47.680000,87.900000,64.850000,51.600000,61.350000
93,59.100000,109.970000,71.170000,58.170000,59.060000
94,65.410000,110.160000,67.050000,58.660000,57.390000
95,51.650000,88.550000,56.440000,52.120000,55.990000
96,56.180000,112.000000,76.680000,59.250000,64.280000
97,75.190000,125.250000,83.410000,65.750000,65.240000
98,63.770000,96.860000,62.800000,57.930000,54.120000
99,63.280000,115.290000,74.410000,58.240000,59.320000
100,65.580000,108.840000,76.470000,63.860000,62.730000
101,61.790000,105.610000,77.420000,62.660000,67.530000
102,79.950000,111.700000,66.170000,62.470000,59.240000
103,62.900000,114.900000,83.930000,62.260000,65.450000
104,72.250000,115.260000,91.010000,68.230000,63.360000
105,77.480000,111.870000,73.860000,59.920000,60.260000
106,63.800000,107.590000,77.320000,65.550000,62.920000
107,77.570000,118.440000,85.940000,68.880000,66.880000
108,86.750000,127.880000,80.990000,70.470000,73.610000
109,91.810000,121.150000,79.020000,63.040000,68.580000
110,76.460000,140.350000,97.650000,71.660000,69.690000
111,79.220000,121.800000,87.680000,69.090000,68.850000
112,72.650000,136.020000,86.380000,67.670000,65.530000
113,72.330000,134.910000,89.980000,76.360000,77.010000
114,87.030000,133.550000,93.750000,76.250000,77.310000
115,97.100000,146.880000,104.590000,74.210000,67.330000
116,74.670000,129.200000,105.120000,76.190000,79.430000
117,83.730000,144.760000,105.390000,80.350000,71.260000
118,94.160000,143.790000,84.260000,70.470000,68.110000
119,76.580000,126.680000,109.320000,77.400000,72.890000
120,93.450000,140.930000,112.840000,78.770000,82.750000
121,112.460000,158.700000,126.300000,85.470000,85.490000
122,113.840000,164.480000,129.460000,88.650000,84.770000
123,114.820000,164.820000,130.520000,87.680000,86.960000
124,115.920000,168.320000,118.730000,91.370000,88.340000
125,122.640000,161.610000,127.860000,89.250000,88.700000
126,120.140000,169.440000,135.790000,89.410000,84.010000
127,123.410000,159.680000,134.540000,89.910000,90.390000
