Dimension (n),Quick Sort,Median of Three Quick Sort
0,0.250000,0.270000
1000,67.070000,54.240000
2000,117.890000,92.120000
3000,154.370000,136.780000
4000,228.460000,252.760000
5000,341.620000,370.040000
6000,418.300000,338.910000
7000,465.050000,614.040000
8000,582.790000,413.920000
9000,526.670000,464.730000
10000,592.160000,515.250000
11000,653.050000,575.660000
12000,717.600000,627.930000
13000,783.000000,684.230000
14000,853.080000,742.420000
15000,921.740000,800.150000
16000,984.160000,858.480000
17000,1053.420000,918.240000
18000,1125.670000,976.380000
19000,1190.960000,1033.010000
20000,1261.530000,1095.350000
21000,1325.600000,1153.630000
22000,1396.100000,1213.900000
23000,1465.000000,1275.980000
24000,1537.050000,1332.730000
25000,1603.330000,1392.540000
26000,1679.170000,1455.470000
27000,1756.550000,1516.770000
28000,1818.680000,1577.280000
29000,1887.740000,1637.170000
30000,1962.570000,1696.650000
31000,2032.420000,1759.590000
32000,2107.620000,1821.610000
33000,2181.970000,1883.530000
34000,2245.970000,1943.410000
35000,2320.800000,2011.130000
36000,2399.550000,2066.960000
37000,2467.480000,2130.110000
38000,2541.780000,2195.770000
39000,2612.490000,2254.600000
40000,2680.300000,2316.650000
41000,2763.840000,2383.230000
42000,2838.000000,2442.290000
43000,2906.910000,2508.830000
44000,2980.200000,2565.690000
45000,3050.970000,2631.670000
46000,3127.880000,2697.790000
47000,3204.360000,2763.810000
48000,3278.030000,2824.030000
49000,3352.580000,2888.030000
50000,3427.040000,2952.550000
