Dimension (n),Tail Recursive Quick Sort,Median of Three Tail Quick Sort,Hybrid Tail Recursive Median of Three Quick Sort
0,0.210000,0.240000,0.170000
1000,54.300000,52.100000,48.270000
2000,101.860000,96.630000,95.800000
3000,152.540000,151.470000,150.130000
4000,216.780000,213.320000,206.720000
5000,270.620000,266.500000,267.560000
6000,331.660000,326.660000,323.320000
7000,401.400000,386.270000,385.480000
8000,457.760000,449.920000,442.620000
9000,518.850000,508.910000,503.910000
10000,583.990000,572.980000,567.400000
11000,660.640000,641.900000,628.610000
12000,712.590000,698.170000,690.800000
13000,776.690000,762.490000,753.220000
14000,846.450000,829.110000,821.080000
15000,914.060000,890.580000,880.650000
16000,976.770000,958.770000,943.860000
17000,1044.990000,1020.780000,1010.930000
18000,1115.710000,1084.750000,1076.290000
19000,1181.370000,1150.150000,1138.480000
20000,1250.510000,1218.750000,1205.580000
21000,1316.410000,1282.260000,1269.800000
22000,1386.200000,1350.280000,1336.140000
23000,1453.660000,1417.850000,1404.960000
24000,1531.300000,1483.690000,1468.230000
25000,1590.280000,1550.120000,1534.490000
26000,1666.100000,1664.820000,1600.280000
27000,1740.120000,1686.830000,1677.380000
28000,1817.650000,1755.160000,1738.350000
29000,1901.520000,1823.140000,1803.710000
30000,1949.220000,1889.810000,1873.050000
31000,2016.960000,1956.990000,1938.670000
32000,2094.340000,2029.060000,2008.300000
33000,2164.270000,2096.020000,2074.000000
34000,2230.570000,2163.400000,2141.980000
35000,2304.240000,2235.600000,2224.890000
36000,2376.910000,2302.180000,2279.850000
37000,2447.520000,2369.480000,2345.210000
38000,2523.640000,2443.270000,2417.720000
39000,2593.010000,2536.910000,2484.510000
40000,2660.050000,2575.440000,2550.390000
41000,2741.770000,2653.300000,2626.450000
42000,2815.560000,2736.570000,2689.230000
43000,2881.180000,2791.360000,2761.980000
44000,2956.760000,2867.550000,2845.100000
45000,3029.510000,2952.790000,2901.250000
46000,3104.630000,3005.450000,2974.450000
47000,3182.000000,3074.080000,3044.230000
48000,3254.630000,3142.050000,3109.560000
49000,3324.130000,3212.620000,3183.470000
50000,3405.720000,3293.110000,3257.680000
51000,3468.830000,3355.990000,3322.650000
52000,3547.440000,3424.850000,3390.010000
53000,3614.720000,3495.840000,3458.730000
54000,3698.760000,3567.360000,3532.740000
55000,3781.670000,3656.850000,3618.010000
56000,3843.970000,3716.740000,3679.230000
57000,3926.390000,3788.470000,3765.780000
58000,3994.500000,3858.510000,3821.020000
59000,4069.110000,3921.910000,3883.140000
60000,4141.540000,4002.980000,3962.270000
61000,4215.580000,4076.920000,4037.050000
62000,4291.750000,4193.840000,4108.190000
63000,4362.860000,4219.280000,4222.570000
64000,4438.050000,4285.900000,4242.550000
65000,4521.270000,4369.160000,4325.940000
66000,4597.270000,4444.180000,4400.170000
67000,4692.050000,4503.770000,4489.680000
68000,4750.340000,4582.930000,4537.180000
69000,4825.290000,4668.800000,4624.500000
70000,4894.450000,4755.660000,4694.020000
71000,4982.300000,4816.170000,4766.000000
72000,5073.150000,4871.710000,4819.540000
73000,5124.590000,4955.430000,4902.820000
74000,5198.800000,5016.190000,4968.930000
75000,5284.750000,5093.000000,5074.930000
76000,5379.470000,5164.820000,5135.130000
77000,5440.000000,5236.970000,5185.970000
78000,5509.210000,5304.570000,5256.520000
79000,5588.680000,5382.490000,5333.650000
80000,5668.290000,5467.520000,5443.480000
81000,5731.610000,5541.490000,5479.060000
82000,5813.500000,5602.370000,5547.180000
83000,5901.830000,5713.120000,5666.390000
84000,5964.740000,5768.990000,5695.420000
85000,6052.380000,5830.870000,5772.920000
86000,6141.330000,5909.950000,5850.390000
87000,6195.490000,5979.370000,5922.110000
88000,6289.170000,6047.380000,5993.310000
89000,6352.720000,6120.450000,6063.080000
90000,6437.910000,6246.040000,6187.710000
91000,6516.050000,6275.520000,6217.480000
92000,6628.250000,6451.470000,6287.920000
93000,6673.420000,6417.870000,6364.220000
94000,6761.350000,6560.690000,6489.880000
95000,6822.680000,6577.450000,6513.240000
96000,6896.460000,6676.150000,6614.250000
97000,7004.250000,6733.190000,6663.290000
98000,7061.790000,6793.990000,6758.090000
99000,7145.300000,6881.310000,6806.190000
100000,7226.970000,6973.460000,6899.150000
