Dimension (n),Insertion Sort,Merge Sort,Hybrid Sort,Quick Sort,Median of Three Quick Sort,Tail Recursive Quick Sort,Heap Sort
0,0.320000,0.290000,0.260000,0.230000,0.280000,0.260000,0.240000
1000,118.490000,81.160000,62.230000,50.080000,42.680000,44.520000,59.710000
2000,322.480000,137.470000,105.230000,130.170000,107.390000,102.790000,128.990000
3000,718.580000,212.850000,205.320000,151.590000,136.380000,152.800000,202.340000
4000,1263.630000,298.900000,226.300000,208.620000,190.080000,212.780000,279.270000
5000,1952.730000,368.450000,318.830000,267.460000,240.330000,270.090000,355.230000
6000,2817.980000,450.530000,430.720000,327.500000,295.340000,331.680000,434.640000
7000,3809.350000,535.920000,391.550000,388.600000,347.310000,392.130000,513.520000
8000,4968.830000,609.340000,477.020000,454.600000,402.920000,454.940000,596.690000
9000,6288.910000,695.130000,577.290000,514.380000,456.800000,516.370000,679.100000
10000,7802.420000,776.470000,678.330000,581.280000,511.990000,584.360000,758.050000
11000,9413.980000,860.580000,786.260000,645.180000,571.690000,651.940000,845.470000
12000,11201.560000,943.170000,901.830000,705.700000,626.470000,708.690000,929.350000
13000,13056.530000,1030.110000,753.560000,769.030000,682.570000,773.370000,1020.270000
14000,15195.680000,1119.800000,836.080000,840.400000,744.400000,844.240000,1104.350000
15000,17426.840000,1187.270000,922.400000,904.660000,797.810000,910.470000,1195.020000
16000,19744.900000,1269.730000,1014.030000,965.140000,857.580000,975.220000,1289.690000
17000,22372.400000,1365.720000,1116.370000,1032.270000,913.220000,1042.830000,1370.680000
18000,24947.350000,1453.350000,1227.250000,1107.780000,977.500000,1116.660000,1473.360000
19000,28018.660000,1535.610000,1322.320000,1175.070000,1037.910000,1184.690000,1555.760000
20000,30943.350000,1621.820000,1432.030000,1236.010000,1093.860000,1251.950000,1641.980000
21000,34054.820000,1704.970000,1534.830000,1305.830000,1155.840000,1313.440000,1733.310000
22000,37398.390000,1794.770000,1657.000000,1373.280000,1215.520000,1385.610000,1827.730000
23000,40871.930000,1879.490000,1776.250000,1440.430000,1268.890000,1452.380000,1919.310000
24000,44501.420000,1968.500000,1900.220000,1508.430000,1329.590000,1529.240000,2021.240000
25000,48288.100000,2062.110000,2029.040000,1580.380000,1397.150000,1587.700000,2110.640000
26000,52299.880000,2199.750000,1614.900000,1658.790000,1454.940000,1669.290000,2207.560000
27000,56309.170000,2267.030000,1699.590000,1723.910000,1519.200000,1738.090000,2304.870000
28000,61069.210000,2359.510000,1843.810000,1795.110000,1587.930000,1809.520000,2388.560000
29000,64965.680000,2416.370000,1877.810000,1851.680000,1632.920000,1870.680000,2473.010000
30000,69558.060000,2513.070000,1974.240000,1937.050000,1696.850000,1937.770000,2575.460000
31000,74374.810000,2607.230000,2064.540000,1996.270000,1758.560000,2013.760000,2682.050000
32000,79390.410000,2689.890000,2166.040000,2069.830000,1817.070000,2091.560000,2776.250000
33000,84206.550000,2777.280000,2276.730000,2157.890000,1886.780000,2158.280000,2864.180000
34000,107666.800000,29088.230000,3450.550000,3024.650000,2572.430000,2942.880000,3900.810000
35000,118205.750000,3305.710000,3278.770000,2906.370000,2402.190000,2770.280000,3506.610000
36000,102166.790000,3137.500000,2631.760000,2350.980000,2173.650000,2466.880000,3254.310000
37000,109398.790000,3161.220000,2713.090000,2447.610000,2146.780000,2450.170000,3259.800000
38000,179176.650000,3565.340000,3024.290000,2577.310000,2238.960000,2590.230000,3835.720000
39000,124290.130000,3372.480000,3539.740000,2920.380000,2303.520000,2613.330000,4107.720000
40000,131356.960000,3443.310000,3044.230000,2657.240000,2309.050000,2671.550000,3545.790000
41000,131374.510000,3576.070000,3293.060000,2816.460000,2479.640000,2782.300000,3663.420000
42000,141279.380000,3760.890000,3440.710000,2894.470000,2471.750000,2866.470000,3849.890000
43000,147451.320000,3704.100000,3380.680000,2873.830000,2574.510000,2931.780000,3896.810000
44000,153451.610000,3909.600000,3590.990000,2929.260000,2609.040000,3003.110000,4057.170000
45000,232393.450000,5946.810000,4701.330000,3596.590000,3012.500000,3539.950000,4721.710000
46000,198509.880000,4651.190000,4584.320000,3868.050000,3275.970000,3843.550000,4802.440000
47000,208607.100000,4477.970000,4133.680000,3293.190000,2848.560000,3292.030000,4280.090000
48000,185105.600000,4213.790000,4200.090000,3432.240000,3370.070000,5271.360000,6033.530000
49000,198268.480000,4345.090000,4193.510000,3326.050000,2895.840000,3346.950000,4464.630000
50000,195705.160000,4378.120000,4272.440000,3379.600000,2952.150000,3394.970000,4548.170000
