Dimension (n),Insertion Sort,Merge Sort,Hybrid Sort,Quick Sort,Median of Three Quick Sort,Tail Recursive Quick Sort,Heap Sort
0,0.310000,0.260000,0.250000,0.250000,0.280000,0.300000,0.270000
1000,128.460000,88.140000,59.640000,50.420000,43.610000,47.220000,60.770000
2000,326.360000,146.770000,107.690000,98.870000,88.790000,99.290000,130.410000
3000,731.670000,212.930000,203.820000,150.960000,136.380000,152.630000,202.690000
4000,1291.040000,289.310000,225.320000,214.370000,188.200000,210.450000,275.700000
5000,1948.200000,366.880000,320.540000,266.960000,238.950000,269.850000,355.930000
6000,2818.440000,449.850000,430.820000,328.880000,296.720000,333.380000,436.040000
7000,3824.540000,534.630000,392.380000,390.910000,350.260000,391.840000,515.210000
8000,4988.670000,610.820000,477.550000,452.130000,402.950000,458.590000,598.920000
9000,6310.080000,698.170000,577.630000,518.060000,459.210000,520.940000,677.660000
10000,7791.760000,790.850000,687.380000,582.400000,514.450000,585.450000,764.130000
11000,9424.270000,861.510000,786.120000,641.780000,570.580000,648.510000,848.540000
12000,11148.650000,945.970000,903.270000,707.510000,623.620000,709.800000,927.200000
13000,13074.310000,1036.770000,752.150000,767.160000,680.110000,773.240000,1018.920000
14000,15193.060000,1117.610000,835.570000,839.290000,743.330000,841.520000,1100.960000
15000,17370.730000,1196.540000,922.940000,905.330000,800.630000,912.090000,1193.820000
16000,19797.040000,1275.850000,1021.240000,970.640000,857.150000,981.870000,1286.920000
17000,22381.750000,1371.050000,1118.800000,1038.240000,915.490000,1045.850000,1371.060000
18000,25145.840000,1460.410000,1217.170000,1104.860000,971.430000,1114.640000,1455.940000
19000,27918.260000,1537.510000,1321.520000,1171.590000,1035.330000,1182.380000,1550.030000
20000,30804.120000,1629.980000,1431.430000,1247.600000,1094.260000,1255.600000,1645.150000
21000,34112.300000,1697.390000,1537.760000,1308.090000,1151.240000,1311.370000,1735.000000
22000,37319.530000,1803.210000,1653.330000,1374.210000,1212.140000,1382.510000,1822.940000
23000,40927.820000,1885.490000,1776.290000,1443.530000,1272.930000,1452.330000,1914.510000
24000,44406.030000,1982.480000,1901.440000,1510.370000,1325.780000,1523.040000,2020.270000
25000,48225.850000,2071.140000,2020.930000,1576.740000,1391.600000,1590.120000,2101.370000
26000,52290.350000,2199.490000,1617.580000,1652.230000,1450.170000,1699.850000,2197.270000
27000,56408.070000,2273.460000,1700.960000,1735.020000,1513.870000,1739.470000,2290.390000
28000,60605.760000,2352.780000,1784.000000,1784.110000,1573.200000,1802.510000,2379.450000
29000,65049.160000,2436.140000,1873.540000,1850.630000,1636.800000,1878.290000,2488.120000
30000,69552.300000,2526.930000,1969.550000,1940.920000,1696.640000,1943.480000,2571.240000
31000,74306.300000,2614.790000,2059.900000,2000.720000,1755.480000,2009.800000,2670.690000
32000,79064.780000,2712.810000,2163.280000,2078.720000,1818.710000,2096.120000,2775.240000
33000,84076.230000,2805.220000,2272.730000,2149.830000,1883.320000,2167.050000,2849.620000
34000,89286.760000,2891.420000,2375.120000,2206.370000,1935.460000,2222.230000,2941.510000
35000,94685.670000,2983.680000,2483.830000,2282.370000,1999.910000,2292.530000,3043.710000
36000,99897.920000,3063.300000,2590.690000,2359.530000,2062.400000,2376.120000,3150.950000
37000,105751.410000,3159.360000,2696.210000,2432.890000,2130.810000,2458.390000,3237.670000
38000,111839.940000,3248.860000,2790.750000,2495.710000,2186.210000,2517.100000,3334.100000
39000,117444.620000,3359.940000,2907.150000,2577.250000,2246.400000,2585.430000,3435.570000
40000,123737.340000,3437.190000,3029.190000,2652.870000,2310.310000,2663.400000,3536.560000
41000,129725.010000,3518.880000,3149.310000,2723.750000,2378.120000,2738.070000,3622.620000
42000,136097.650000,3628.150000,3258.830000,2788.990000,2433.010000,2808.840000,3719.430000
43000,143023.420000,3727.890000,3385.080000,2854.180000,2511.120000,2884.080000,3822.210000
44000,149942.740000,3817.030000,3495.920000,2925.150000,2557.820000,2949.450000,3906.270000
45000,158299.040000,3896.660000,3617.670000,3001.470000,2627.540000,3024.860000,4019.970000
46000,166412.810000,4217.020000,4005.020000,3229.190000,2763.780000,3126.250000,4119.140000
47000,170895.320000,4102.470000,3865.430000,3145.380000,2754.070000,3174.150000,4236.240000
48000,178382.540000,4168.990000,3991.560000,3232.460000,2828.300000,3265.620000,4333.310000
49000,186355.520000,4268.350000,4137.780000,3304.710000,2884.990000,3315.600000,4420.870000
50000,228745.240000,16240.730000,6368.270000,5054.840000,4809.650000,5218.180000,5673.320000
