Dimension (n),Insertion Sort,Merge Sort,Hybrid Sort,Quick Sort,Median of Three Quick Sort,Tail Recursive Quick Sort,Heap Sort
0,0.330000,0.250000,0.250000,0.240000,0.250000,0.280000,0.230000
1,0.310000,0.260000,0.270000,0.300000,0.330000,0.220000,0.280000
2,0.280000,0.340000,0.260000,0.310000,0.290000,0.230000,0.440000
3,0.270000,0.380000,0.310000,0.280000,0.320000,0.280000,0.300000
4,0.300000,0.440000,0.320000,0.310000,0.320000,0.320000,0.340000
5,0.330000,0.510000,0.300000,0.340000,0.360000,0.350000,0.410000
6,0.330000,0.510000,0.340000,0.370000,0.410000,0.330000,0.410000
7,0.310000,0.640000,0.280000,0.380000,0.430000,0.350000,0.520000
8,0.360000,0.700000,0.320000,0.410000,0.430000,0.430000,0.580000
9,0.330000,0.760000,0.360000,0.430000,0.500000,0.400000,0.290000
10,0.340000,0.780000,0.360000,0.490000,0.560000,0.540000,0.600000
11,0.340000,1.010000,0.370000,0.590000,0.540000,0.750000,0.690000
12,0.380000,0.960000,0.360000,0.550000,0.650000,0.620000,0.740000
13,0.360000,1.040000,0.460000,0.580000,0.620000,0.640000,0.790000
14,0.420000,1.130000,0.410000,0.650000,0.670000,0.630000,0.850000
15,0.420000,1.160000,0.490000,0.630000,0.680000,0.640000,0.880000
16,0.480000,1.230000,0.410000,0.650000,0.720000,0.660000,0.890000
17,0.480000,1.280000,0.480000,0.610000,0.730000,0.640000,0.890000
18,0.770000,1.450000,0.450000,0.650000,0.730000,0.720000,0.880000
19,0.000000,1.310000,0.520000,0.710000,0.750000,0.670000,1.020000
20,0.470000,1.350000,0.510000,0.720000,0.720000,0.730000,1.020000
21,0.430000,1.440000,0.580000,0.740000,0.830000,0.730000,1.160000
22,0.490000,1.590000,0.570000,0.800000,0.880000,0.800000,1.140000
23,0.490000,1.720000,0.550000,0.810000,0.910000,0.840000,1.190000
24,0.510000,1.600000,0.580000,0.850000,0.880000,0.860000,1.200000
25,0.480000,1.670000,0.570000,0.810000,0.890000,0.860000,1.160000
26,0.450000,1.690000,0.610000,0.900000,0.960000,0.940000,1.220000
27,0.490000,1.740000,0.630000,0.930000,0.960000,0.860000,1.210000
28,0.480000,1.770000,0.630000,0.930000,1.000000,0.930000,1.330000
29,0.530000,1.840000,0.670000,0.990000,1.040000,1.000000,1.240000
30,0.530000,1.900000,0.720000,1.040000,1.050000,0.960000,1.380000
31,0.540000,2.040000,0.710000,1.020000,1.070000,1.010000,1.280000
32,0.460000,1.870000,0.690000,0.980000,1.150000,1.020000,1.410000
33,0.580000,2.030000,0.760000,1.130000,1.070000,1.040000,1.430000
34,0.530000,2.000000,0.750000,1.060000,1.100000,1.030000,1.620000
35,0.570000,2.040000,0.780000,1.100000,1.130000,1.110000,1.500000
36,0.590000,2.110000,0.880000,1.120000,1.140000,1.120000,1.550000
37,0.600000,2.290000,0.870000,1.110000,1.160000,1.110000,1.580000
38,0.560000,2.160000,0.800000,1.120000,1.210000,1.140000,1.600000
39,0.590000,2.200000,0.850000,1.130000,1.220000,1.120000,1.590000
40,0.570000,2.130000,0.740000,1.150000,1.190000,1.130000,1.610000
41,0.600000,2.170000,0.830000,1.140000,1.160000,1.140000,1.600000
42,0.590000,2.200000,0.870000,1.230000,1.240000,1.160000,1.660000
43,0.670000,2.410000,0.880000,1.220000,1.200000,1.420000,1.730000
44,0.630000,2.350000,0.920000,1.150000,1.240000,1.150000,1.750000
45,0.620000,2.360000,0.930000,1.140000,1.360000,1.400000,1.840000
46,0.620000,2.420000,1.420000,1.340000,1.340000,1.280000,1.850000
47,0.640000,2.490000,1.000000,1.420000,1.370000,1.340000,1.880000
48,0.720000,2.610000,1.080000,1.330000,1.400000,1.350000,1.910000
49,0.590000,2.570000,1.050000,1.390000,1.410000,1.430000,2.420000
50,1.020000,2.830000,1.040000,1.430000,1.470000,1.430000,2.000000
51,0.710000,3.040000,1.160000,1.440000,1.550000,1.510000,2.030000
52,0.730000,2.820000,1.190000,1.490000,1.560000,1.490000,2.040000
53,0.740000,2.850000,1.140000,1.860000,1.540000,1.540000,2.070000
54,0.730000,2.870000,1.170000,1.500000,1.600000,1.540000,2.170000
55,0.730000,3.030000,1.520000,1.600000,1.880000,1.600000,2.240000
56,0.810000,2.940000,1.310000,1.660000,1.640000,1.630000,2.310000
57,0.780000,3.130000,1.310000,1.650000,1.660000,1.640000,2.310000
58,0.840000,3.140000,1.340000,1.710000,1.700000,1.700000,2.420000
59,0.840000,3.160000,1.410000,1.740000,1.750000,1.740000,2.450000
60,1.460000,3.260000,1.410000,1.750000,1.760000,1.730000,2.490000
61,1.010000,3.350000,1.470000,1.770000,1.820000,1.770000,2.500000
62,0.870000,3.380000,1.480000,1.830000,1.860000,1.810000,2.550000
63,0.900000,3.380000,1.530000,1.820000,1.900000,1.880000,2.620000
64,0.930000,3.460000,1.590000,1.890000,1.910000,1.860000,2.640000
65,0.950000,3.500000,1.610000,1.940000,1.870000,1.900000,2.640000
66,0.880000,3.540000,1.630000,1.930000,1.980000,1.970000,2.740000
67,0.980000,3.630000,1.720000,1.980000,2.020000,1.900000,2.780000
68,0.960000,3.640000,1.810000,2.200000,2.060000,2.020000,2.770000
69,1.020000,4.110000,1.760000,2.090000,2.070000,2.040000,2.870000
70,1.010000,3.830000,1.850000,2.390000,2.040000,2.110000,2.950000
71,1.050000,3.870000,1.900000,2.100000,2.140000,2.110000,2.970000
72,1.040000,3.990000,1.830000,2.120000,2.180000,2.150000,3.030000
73,1.040000,5.390000,1.900000,2.970000,2.160000,2.200000,3.310000
74,1.100000,4.310000,2.020000,2.250000,2.250000,2.220000,3.140000
75,1.150000,4.190000,2.040000,2.280000,3.360000,2.250000,3.050000
76,1.130000,4.160000,2.070000,2.300000,2.320000,2.260000,3.160000
77,1.390000,4.220000,2.110000,2.350000,2.390000,2.350000,3.210000
78,1.190000,4.230000,2.130000,2.620000,2.390000,2.330000,3.290000
79,1.380000,5.460000,2.180000,2.460000,2.330000,2.340000,3.610000
80,1.190000,4.260000,2.200000,2.370000,2.410000,2.440000,3.300000
81,1.270000,4.440000,2.660000,2.420000,2.420000,2.390000,3.380000
82,1.240000,4.470000,2.700000,3.040000,2.440000,2.640000,3.460000
83,1.230000,4.580000,2.380000,2.540000,2.540000,2.540000,3.490000
84,1.230000,4.990000,2.400000,2.560000,2.580000,2.540000,3.570000
85,1.330000,4.670000,2.440000,2.670000,4.280000,2.530000,3.600000
86,1.340000,4.810000,2.510000,2.510000,2.600000,2.670000,3.930000
87,1.370000,4.790000,2.640000,2.670000,2.730000,2.590000,3.500000
88,1.420000,4.950000,2.610000,2.560000,3.110000,2.840000,3.690000
89,1.360000,4.820000,2.710000,2.900000,2.840000,2.860000,3.870000
90,1.410000,5.300000,2.820000,2.770000,2.930000,2.970000,3.890000
91,1.400000,5.000000,3.780000,4.640000,3.960000,4.650000,4.290000
92,1.630000,5.490000,4.030000,3.980000,3.740000,3.380000,4.750000
93,1.960000,8.710000,4.190000,3.380000,3.500000,3.650000,5.400000
94,1.640000,5.490000,2.910000,2.940000,2.960000,3.040000,4.040000
95,1.580000,5.390000,2.970000,2.880000,2.940000,3.050000,4.260000
96,1.930000,5.420000,3.520000,3.040000,2.970000,2.980000,4.120000
97,1.540000,5.770000,3.110000,3.020000,3.020000,2.960000,4.190000
98,1.710000,5.370000,3.500000,3.100000,3.010000,2.980000,4.260000
99,1.600000,5.840000,3.220000,3.220000,3.050000,3.050000,4.290000
100,1.640000,5.410000,3.320000,3.170000,3.270000,3.140000,4.330000
101,1.650000,5.630000,3.320000,3.150000,3.100000,3.850000,4.730000
102,1.710000,5.720000,3.270000,3.230000,3.130000,3.120000,4.500000
103,1.670000,5.880000,3.510000,3.300000,3.130000,3.360000,4.700000
104,1.720000,5.800000,3.770000,3.250000,3.240000,3.320000,4.510000
105,1.770000,5.820000,3.880000,3.270000,3.270000,3.270000,4.550000
106,1.770000,6.250000,3.660000,3.350000,3.240000,3.460000,5.140000
107,1.800000,6.090000,3.610000,3.270000,3.290000,3.360000,4.700000
108,2.150000,7.300000,3.770000,3.300000,3.300000,3.380000,4.800000
109,1.860000,6.600000,3.780000,3.380000,3.330000,3.430000,4.800000
110,1.850000,6.340000,3.860000,3.460000,3.380000,3.510000,4.880000
111,1.860000,6.270000,3.980000,3.460000,3.830000,3.660000,4.880000
112,1.870000,6.180000,4.020000,3.570000,3.450000,3.910000,5.000000
113,1.930000,6.500000,3.970000,3.630000,3.570000,3.560000,5.710000
114,1.980000,6.330000,4.060000,3.590000,3.570000,3.640000,5.050000
