Dimension (n),Insertion Sort,Merge Sort,Hybrid Sort,Quick Sort,Median of Three Quick Sort,Tail Recursive Quick Sort,Heap Sort
0,0.210000,0.030000,0.000000,0.500000,0.100000,0.010000,0.020000
100,2.360000,8.140000,4.770000,4.480000,4.450000,4.470000,6.280000
200,6.360000,15.380000,14.890000,8.950000,8.650000,8.900000,11.860000
300,11.300000,21.760000,17.080000,12.930000,12.080000,12.350000,15.840000
400,15.120000,24.670000,23.870000,15.270000,14.500000,15.420000,20.850000
500,22.580000,31.050000,22.660000,19.740000,18.820000,19.970000,26.870000
600,31.490000,38.290000,30.750000,24.380000,22.970000,24.720000,33.020000
700,42.080000,45.060000,40.030000,29.070000,27.200000,29.390000,39.230000
800,53.960000,52.390000,50.690000,34.060000,35.230000,37.260000,45.710000
900,68.080000,59.470000,41.120000,38.700000,36.000000,38.960000,52.090000
1000,83.310000,66.510000,52.990000,49.400000,40.530000,44.150000,58.730000
1100,99.750000,72.990000,57.190000,48.610000,44.890000,49.030000,65.210000
1200,118.290000,80.600000,65.850000,53.850000,49.630000,54.270000,71.800000
1300,137.350000,88.170000,75.490000,58.860000,54.170000,59.320000,78.500000
1400,183.490000,95.220000,86.070000,64.140000,59.250000,64.680000,85.080000
1500,181.700000,101.610000,98.370000,68.940000,63.550000,69.700000,92.090000
1600,206.280000,108.250000,107.100000,76.180000,68.870000,75.210000,99.260000
1700,231.490000,116.600000,81.370000,79.760000,73.450000,80.630000,105.900000
1800,259.290000,123.630000,88.750000,84.730000,77.790000,85.700000,112.800000
1900,287.980000,129.380000,96.440000,90.390000,82.590000,91.350000,119.870000
2000,318.900000,136.810000,104.370000,95.610000,87.280000,96.410000,127.020000
2100,350.370000,143.800000,113.840000,100.900000,92.330000,102.020000,133.870000
2200,383.600000,151.600000,121.960000,106.350000,96.900000,107.370000,140.810000
2300,419.960000,158.390000,130.610000,112.140000,102.450000,112.830000,147.730000
2400,456.210000,166.880000,140.060000,117.270000,107.060000,118.510000,154.650000
2500,494.570000,179.550000,149.730000,122.610000,112.000000,123.910000,162.210000
2600,532.810000,182.180000,162.670000,128.930000,117.310000,130.000000,169.160000
2700,575.050000,190.520000,170.050000,134.280000,122.340000,135.520000,176.630000
2800,616.820000,213.430000,180.440000,139.330000,126.880000,141.430000,183.750000
2900,661.080000,203.400000,191.230000,145.190000,131.730000,147.520000,190.750000
3000,705.830000,211.360000,202.140000,150.480000,136.870000,152.180000,198.770000
3100,754.840000,218.680000,214.290000,156.080000,142.130000,157.860000,205.620000
3200,803.770000,229.000000,225.690000,162.100000,146.890000,163.750000,213.840000
3300,853.610000,237.300000,167.100000,167.990000,152.460000,169.590000,220.620000
3400,903.850000,244.020000,174.510000,173.060000,157.460000,175.830000,228.310000
3500,959.470000,250.760000,182.330000,178.360000,162.140000,180.350000,235.600000
3600,1013.250000,259.900000,190.720000,184.500000,167.710000,186.700000,243.100000
3700,1073.320000,266.000000,198.770000,190.570000,172.440000,192.300000,251.040000
3800,1126.420000,274.990000,206.670000,196.600000,177.990000,198.610000,258.650000
3900,1207.680000,281.910000,215.040000,201.620000,183.220000,203.660000,266.410000
4000,1248.040000,289.530000,224.510000,208.670000,188.290000,209.980000,273.990000
4100,1311.190000,295.460000,233.000000,213.630000,192.920000,215.980000,281.630000
4200,1375.870000,305.080000,241.640000,220.010000,198.750000,221.490000,289.180000
4300,1440.650000,312.420000,250.430000,225.720000,204.020000,228.140000,296.520000
4400,1506.970000,320.090000,260.170000,231.450000,209.190000,233.700000,303.920000
4500,1579.950000,328.300000,269.040000,235.880000,214.430000,238.980000,311.360000
4600,1650.800000,335.740000,278.110000,242.880000,219.220000,245.160000,319.020000
4700,1720.530000,344.440000,287.740000,248.980000,224.650000,251.800000,326.640000
4800,1791.310000,353.460000,297.690000,254.860000,230.170000,257.420000,334.550000
4900,1868.190000,378.760000,307.530000,261.680000,235.160000,264.420000,341.690000
5000,1948.020000,367.300000,317.420000,266.420000,240.540000,268.570000,349.710000
5100,2021.010000,375.670000,327.650000,271.640000,246.060000,274.390000,357.550000
5200,2101.480000,395.030000,338.500000,278.810000,252.010000,281.410000,365.330000
5300,2179.840000,391.870000,348.920000,284.620000,256.550000,287.410000,372.770000
5400,2265.380000,400.170000,359.330000,290.300000,262.230000,293.170000,380.990000
5500,2348.560000,406.970000,369.860000,296.320000,267.840000,299.810000,388.930000
5600,2432.150000,414.380000,380.970000,301.760000,273.160000,304.700000,396.610000
5700,2525.600000,422.390000,392.000000,308.160000,278.130000,310.980000,404.410000
5800,2606.080000,432.140000,403.470000,314.100000,283.300000,317.250000,412.490000
5900,2700.170000,439.570000,415.750000,320.300000,289.140000,323.260000,420.620000
6000,2789.970000,448.230000,426.000000,326.310000,294.490000,329.620000,428.910000
6100,2888.110000,454.470000,437.700000,333.200000,299.430000,336.890000,436.360000
6200,2978.360000,462.910000,449.730000,339.410000,304.670000,342.610000,444.460000
6300,3070.090000,473.730000,461.370000,344.950000,310.320000,347.820000,452.970000
6400,3169.690000,482.770000,474.060000,350.780000,315.490000,353.980000,460.370000
6500,3274.000000,490.510000,350.210000,356.390000,320.930000,359.820000,467.720000
6600,3372.040000,497.530000,358.840000,363.280000,327.190000,366.220000,476.320000
6700,3474.890000,505.320000,366.600000,369.390000,332.310000,373.400000,486.900000
6800,3577.070000,516.580000,374.530000,377.220000,337.920000,379.830000,496.240000
6900,3687.390000,525.820000,382.170000,382.090000,343.140000,385.840000,500.490000
7000,3796.440000,533.140000,390.070000,386.610000,348.730000,390.950000,508.420000
7100,3891.970000,539.430000,398.840000,393.920000,353.440000,397.490000,516.360000
7200,4010.330000,547.790000,406.820000,399.040000,360.090000,403.420000,525.130000
7300,4120.790000,556.820000,415.370000,406.500000,365.200000,410.190000,533.350000
7400,4234.120000,567.160000,423.780000,412.780000,370.770000,417.890000,541.050000
7500,4351.990000,569.190000,432.590000,418.320000,375.630000,422.460000,549.870000
7600,4459.510000,576.080000,440.600000,423.620000,381.890000,428.270000,558.000000
7700,4583.340000,583.270000,449.730000,429.970000,387.160000,434.350000,566.160000
7800,4703.480000,594.900000,458.120000,436.550000,392.810000,440.750000,574.190000
7900,4821.830000,603.600000,466.550000,442.810000,399.020000,446.920000,582.530000
8000,4959.260000,612.940000,475.480000,450.160000,403.480000,453.700000,590.930000
8100,5066.080000,617.250000,485.040000,455.820000,409.810000,460.760000,598.820000
8200,5194.600000,623.640000,494.210000,461.530000,415.520000,466.030000,607.820000
8300,5322.480000,632.760000,504.580000,468.430000,420.920000,472.130000,617.380000
8400,5455.260000,641.400000,513.810000,473.360000,427.140000,477.970000,625.050000
8500,5589.040000,651.740000,522.880000,480.990000,431.050000,485.980000,631.480000
8600,5708.930000,658.840000,532.840000,487.470000,438.340000,493.290000,639.790000
8700,5836.640000,665.400000,545.420000,493.160000,443.060000,497.580000,649.200000
8800,5987.070000,676.650000,551.450000,500.040000,448.790000,505.050000,656.120000
8900,6123.310000,685.550000,561.420000,506.770000,453.250000,510.560000,664.760000
9000,6256.560000,693.230000,570.000000,512.880000,459.670000,518.930000,673.480000
9100,6404.490000,700.710000,580.350000,518.740000,464.540000,523.350000,680.000000
9200,6524.780000,707.560000,589.610000,524.560000,470.740000,530.300000,688.680000
9300,6675.890000,713.740000,600.540000,529.960000,477.630000,534.570000,697.410000
9400,6807.560000,729.260000,610.170000,537.230000,481.980000,542.890000,704.920000
9500,6963.680000,733.290000,619.760000,542.610000,486.720000,547.370000,713.440000
9600,7111.830000,741.180000,630.530000,549.470000,492.650000,554.620000,722.040000
9700,7270.900000,752.300000,642.150000,556.620000,498.930000,562.890000,730.200000
9800,7406.560000,778.530000,653.160000,563.500000,504.420000,569.490000,739.770000
9900,7561.000000,772.350000,661.740000,578.150000,511.230000,574.030000,748.580000
10000,7725.520000,776.990000,673.930000,576.750000,515.390000,580.410000,755.270000
