Dimension (n),Insertion Sort,Merge Sort,Hybrid Sort,Quick Sort,Median of Three Quick Sort,Tail Recursive Quick Sort,Heap Sort,Median of Three Tail Quick Sort,Hybrid Tail Recursive Median of Three Quick Sort
0,0.230000,0.210000,0.200000,0.180000,0.230000,0.200000,0.210000,0.240000,0.210000
1000,311.450000,81.160000,51.790000,50.500000,49.550000,47.330000,68.060000,49.160000,45.310000
2000,1019.620000,150.450000,97.110000,96.790000,97.410000,97.150000,133.980000,97.140000,95.970000
3000,2232.640000,234.800000,179.860000,152.780000,152.940000,154.720000,210.020000,152.480000,150.860000
4000,3940.890000,319.970000,211.510000,209.780000,209.980000,210.490000,289.130000,209.640000,206.930000
5000,6159.290000,409.030000,292.330000,269.760000,269.060000,270.650000,370.460000,268.490000,264.900000
6000,8844.010000,499.160000,385.640000,329.680000,329.510000,331.410000,452.590000,328.710000,324.530000
7000,12032.200000,588.350000,380.780000,391.860000,390.050000,392.790000,536.290000,389.570000,384.130000
8000,15694.440000,676.650000,456.750000,455.560000,452.180000,458.070000,623.520000,451.090000,446.260000
9000,19886.250000,770.800000,541.100000,517.700000,513.270000,520.720000,711.980000,511.870000,505.320000
10000,24548.420000,860.790000,629.440000,582.140000,576.490000,585.010000,798.720000,575.310000,567.520000
11000,29639.070000,955.130000,721.920000,645.420000,639.260000,647.690000,888.000000,638.170000,628.830000
12000,35325.430000,1045.180000,821.480000,710.670000,704.310000,716.130000,978.330000,702.720000,692.880000
13000,41419.420000,1140.440000,743.960000,776.100000,766.720000,780.210000,1069.630000,764.910000,754.270000
14000,48006.890000,1231.190000,821.690000,841.430000,832.270000,844.760000,1161.610000,830.160000,823.440000
15000,55159.580000,1322.080000,900.830000,907.210000,898.250000,911.750000,1254.030000,895.080000,883.120000
16000,62712.720000,1410.180000,983.780000,974.190000,963.790000,979.040000,1349.390000,961.530000,949.010000
17000,70800.340000,1513.040000,1072.950000,1042.570000,1028.010000,1047.400000,1443.990000,1025.630000,1012.660000
18000,79407.570000,1608.260000,1161.940000,1109.810000,1094.500000,1114.520000,1538.850000,1092.400000,1076.870000
19000,88456.290000,1707.540000,1252.540000,1177.030000,1161.040000,1181.710000,1634.070000,1158.330000,1143.840000
20000,98044.520000,1804.220000,1348.380000,1245.040000,1230.520000,1250.460000,1730.110000,1228.250000,1211.700000
21000,107999.650000,1895.880000,1438.340000,1313.360000,1295.300000,1317.460000,1825.150000,1292.640000,1274.290000
22000,118620.400000,1998.130000,1539.780000,1382.530000,1358.580000,1390.530000,1922.170000,1354.770000,1336.280000
23000,129755.320000,2095.960000,1644.780000,1449.690000,1429.840000,1455.640000,2017.780000,1429.370000,1407.350000
24000,141113.060000,2189.070000,1751.910000,1520.840000,1494.690000,1526.920000,2113.800000,1490.460000,1471.810000
25000,153132.680000,2298.440000,1861.830000,1587.450000,1563.840000,1593.290000,2212.810000,1559.530000,1540.580000
26000,165572.360000,2417.470000,1607.490000,1663.430000,1633.050000,1670.340000,2310.650000,1629.250000,1608.000000
27000,178404.330000,2506.000000,1686.560000,1729.360000,1705.260000,1737.540000,2409.910000,1699.500000,1676.730000
28000,191908.540000,2587.160000,1771.750000,1798.270000,1765.690000,1807.420000,2508.550000,1761.460000,1737.680000
29000,205787.790000,2679.190000,1856.010000,1870.100000,1839.240000,1880.420000,2609.440000,1835.250000,1810.860000
30000,220258.010000,2800.430000,1941.340000,1941.140000,1905.800000,1949.680000,2709.110000,1900.870000,1875.350000
31000,235306.080000,2900.680000,2028.240000,2010.570000,1977.020000,2022.790000,2814.580000,1972.430000,1946.160000
32000,250835.140000,2988.650000,2121.920000,2083.520000,2048.830000,2091.960000,2912.240000,2042.400000,2015.810000
33000,266602.680000,3098.540000,2215.820000,2150.450000,2115.620000,2159.630000,3015.310000,2110.870000,2082.860000
34000,284139.250000,3218.360000,2311.070000,2226.470000,2181.350000,2240.660000,3118.950000,2176.180000,2147.400000
35000,299787.450000,3323.000000,2403.010000,2293.310000,2253.300000,2304.530000,3218.970000,2248.230000,2217.530000
36000,317293.070000,3428.430000,2498.180000,2367.440000,2332.200000,2392.970000,3319.110000,2320.190000,2289.610000
37000,335042.270000,3503.210000,2590.450000,2440.150000,2395.420000,2451.590000,3421.160000,2389.690000,2359.960000
